fold_id,model,fold_start,fold_end,run_id,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
20,pure_lagrangian,20,40,20260613_210543,0.3412156622738782,0.4472222222222222,0.654895579510237,0.01968009762920686,0.1650943396226415,1.072420597076416,2011-11-01,2012-11-02,2013-11-01
21,pure_lagrangian,20,40,20260613_210543,0.24852793970441028,0.24130958327386898,0.7152664853755796,0.2697624102444716,0.1509433962264151,0.9009299874305725,2012-02-02,2013-02-05,2014-02-04
22,pure_lagrangian,20,40,20260613_210543,0.35106765051586786,0.35233112157392504,0.6387988428860387,0.11039992369396587,0.17452830188679244,0.9312084913253784,2012-05-03,2013-05-07,2014-05-06
23,pure_lagrangian,20,40,20260613_210543,0.30072715828529784,0.4214708056171471,0.6330994143539143,0.04351717121724232,0.07547169811320754,1.1028270721435547,2012-08-02,2013-08-06,2014-08-05
24,pure_lagrangian,20,40,20260613_210543,0.36640533153096866,0.3975262123197903,0.6021347318103634,0.0988371433786383,0.15566037735849056,1.1384549140930176,2012-11-02,2013-11-04,2014-11-03
25,pure_lagrangian,20,40,20260613_210543,0.45433551773247416,0.45892108686226335,0.5887430451449375,0.06613893688004899,0.20754716981132076,0.9505976438522339,2013-02-05,2014-02-05,2015-02-04
26,pure_lagrangian,20,40,20260613_210543,0.40863785575886524,0.4335184530454683,0.6121736681640076,0.10970022980595978,0.1792452830188679,0.9528315663337708,2013-05-07,2014-05-07,2015-05-06
27,pure_lagrangian,20,40,20260613_210543,0.3789257332933461,0.39537793607561056,0.6256067359266135,0.0842661612750219,0.21226415094339623,1.0348196029663086,2013-08-06,2014-08-06,2015-08-05
28,pure_lagrangian,20,40,20260613_210543,0.41617512404568346,0.4290494227994228,0.6180381105777262,0.08429409584528966,0.20754716981132076,0.9627684950828552,2013-11-04,2014-11-04,2015-11-03
29,pure_lagrangian,20,40,20260613_210543,0.41574191493085083,0.44648462021343377,0.6401193788072326,0.13067111638790005,0.1792452830188679,0.9127288460731506,2014-02-05,2015-02-05,2016-02-04
30,pure_lagrangian,20,40,20260613_210543,0.40282828982347346,0.4165295150318192,0.6448259229391488,0.06217830841530095,0.1320754716981132,0.9950223565101624,2014-05-07,2015-05-07,2016-05-05
31,pure_lagrangian,20,40,20260613_210543,0.3825200534759358,0.43592105916219975,0.6724246160441958,0.09809291726546669,0.10377358490566038,0.9517492651939392,2014-08-06,2015-08-06,2016-08-04
32,pure_lagrangian,20,40,20260613_210543,0.44660335469158996,0.4724487908021673,0.6474714047581022,0.13290675089392867,0.14622641509433962,0.8094333410263062,2014-11-04,2015-11-04,2016-11-02
33,pure_lagrangian,20,40,20260613_210543,0.29276523514873976,0.415530303030303,0.6184513576006456,0.07250940240045108,0.08962264150943396,1.0474107265472412,2015-02-05,2016-02-05,2017-02-03
34,pure_lagrangian,20,40,20260613_210543,0.3468886860106643,0.4809248195170525,0.5802526577701875,0.05495229307474665,0.1792452830188679,1.0271718502044678,2015-05-07,2016-05-06,2017-05-05
35,pure_lagrangian,20,40,20260613_210543,0.2915839158133656,0.2981436837029894,0.47033205881122747,0.05812733414027612,0.11320754716981132,0.7927916646003723,2015-08-06,2016-08-05,2017-08-04
36,pure_lagrangian,20,40,20260613_210543,0.22869630369630367,0.24491525423728816,0.5009048794768846,0.07556183811084766,0.10849056603773585,0.7690302133560181,2015-11-04,2016-11-03,2017-11-02
37,pure_lagrangian,20,40,20260613_210543,0.1712962962962963,0.24776785714285715,0.5337978205641705,0.15746590998810786,0.0047169811320754715,0.7440400719642639,2016-02-05,2017-02-06,2018-02-05
38,pure_lagrangian,20,40,20260613_210543,0.3194851584044471,0.4844576719576719,0.594515378806259,0.1814341150539022,0.04245283018867924,0.8127202391624451,2016-05-06,2017-05-08,2018-05-07
39,pure_lagrangian,20,40,20260613_210543,0.366108678412578,0.5059367906408241,0.5961471922189223,0.1891356738800174,0.0660377358490566,0.746269702911377,2016-08-05,2017-08-07,2018-08-06
40,pure_lagrangian,20,40,20260613_210543,0.41955432058406883,0.5066964285714285,0.5720783115540151,0.15938819909879298,0.14150943396226415,0.6863136887550354,2016-11-03,2017-11-03,2018-11-02
